1;0;6;45;31,34;s3;r0-0
2;0;7;40;87,5;s4;r0-0
3;0;7;50;31,85;s3;r0-0
4;0;9;45;73,80;s1;r0-0
5;0;7;50;50,7;s3;r0-0
6;0;6;45;4,72;s4;r0-0
7;0;9;50;87,64;s1;r0-0
8;0;7;45;34,37;s2;r0-0
9;0;9;40;68,82;s1;r0-0
10;0;6;55;38,15;s1;r0-0
11;0;5;55;82,22;s2;r0-0
12;0;7;50;23,1;s0;r0-0
13;0;6;40;15,9;s4;r0-0
14;0;7;45;66,44;s4;r0-0
15;0;7;55;36,92;s4;r0-0
16;0;5;45;68,82;s0;r0-0
17;0;7;35;88,62;s2;r0-0
18;0;5;45;65,20;s2;r0-0
19;0;7;40;33,22;s1;r0-0
20;0;7;45;58,32;s0;r0-0
21;0;8;40;93,71;s3;r0-0
22;0;6;30;90,16;s0;r0-0
23;0;5;50;41,65;s2;r0-0
24;0;5;50;52,8;s0;r0-0
25;0;5;35;46,82;s0;r0-0
26;0;6;45;13,32;s3;r0-0
27;0;8;40;35,8;s2;r0-0
28;0;6;45;16,47;s2;r0-0
29;0;5;40;48,17;s2;r0-0
30;0;9;50;68,14;s4;r0-0
31;0;8;40;49,21;s3;r0-0
32;0;8;55;11,54;s0;r0-0
33;0;7;45;57,48;s4;r0-0
34;0;8;40;32,44;s0;r0-0
35;0;8;40;4,8;s4;r0-0
36;0;9;45;29,88;s3;r0-0
37;0;7;50;99,49;s4;r0-0
38;0;7;45;14,39;s0;r0-0
39;0;6;40;62,96;s2;r0-0
40;0;7;40;0,37;s0;r0-0
41;0;8;45;23,46;s2;r0-0
42;0;7;45;41,35;s3;r0-0
43;0;6;40;23,15;s4;r0-0
44;0;8;45;8,11;s4;r0-0
45;0;6;35;93,20;s4;r0-0
46;0;7;50;8,47;s1;r0-0
47;0;7;45;91,9;s3;r0-0
48;0;8;40;53,86;s3;r0-0
49;0;9;55;79,15;s3;r0-0
50;0;9;40;47,21;s1;r0-0
51;0;6;40;89,15;s4;r0-0
52;0;8;50;3,99;s3;r0-0
53;0;9;40;93,76;s2;r0-0
54;0;8;45;14,39;s4;r0-0
55;0;7;50;22,16;s2;r0-0
56;0;6;45;77,25;s0;r0-0
57;0;6;45;87,33;s3;r0-0
58;0;6;45;75,42;s3;r0-0
59;0;5;45;53,96;s3;r0-0
60;0;8;45;2,37;s3;r0-0
61;0;6;40;7,66;s0;r0-0
62;0;7;50;72,91;s3;r0-0
63;0;6;45;77,83;s4;r0-0
64;0;7;45;60,45;s3;r0-0
65;0;6;50;71,30;s1;r0-0
66;0;9;35;25,37;s4;r0-0
67;0;8;50;40,90;s0;r0-0
68;0;8;45;21,96;s3;r0-0
69;0;7;50;83,27;s0;r0-0
70;0;7;50;69,57;s4;r0-0
71;0;7;50;57,12;s0;r0-0
72;0;7;35;77,71;s1;r0-0
73;0;6;55;34,12;s2;r0-0
74;0;6;40;86,1;s2;r0-0
75;0;9;45;63,94;s2;r0-0
76;0;7;50;43,66;s1;r0-0
77;0;6;40;68,94;s1;r0-0
78;0;10;50;28,37;s3;r0-0
79;0;8;35;49,71;s4;r0-0
80;0;7;45;71,95;s3;r0-0
81;0;6;40;68,61;s0;r0-0
82;0;8;45;62,71;s2;r0-0
83;0;8;50;10,51;s4;r0-0
84;0;5;45;40,15;s3;r0-0
85;0;7;50;49,28;s0;r0-0
86;0;9;50;92,32;s4;r0-0
87;0;5;30;47,32;s3;r0-0
88;0;9;40;6,14;s2;r0-0
89;0;7;40;56,57;s4;r0-0
90;0;5;35;98,69;s4;r0-0
91;0;10;45;56,39;s1;r0-0
